Project_ID,Construction_status,Project_manager,Project_cost,Project_counties,Description,Description_short,Is_TIA_project,Project_URL
0007837,PRE-CONSTRUCTION,Albert V. Shelby III,45306375.78,"Coweta , Fayette",,CR 358/CR 548/Palmetto RD/Collinsworth RD From I-85 To SR 74,No,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0007837
0007864,PRE-CONSTRUCTION,Albert V. Shelby III,118684227.0,"Carroll , Douglas , Paulding",,SR 61 From Punkintown RD/Carroll To Dallas Nebo RD/Paulding,No,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0007864
0007870,PRE-CONSTRUCTION,Albert V. Shelby III,81034804.64,Spalding,,SR 155 From CR 508/North 2Nd Street To Henry County Line,No,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0007870
0007871,PRE-CONSTRUCTION,Albert V. Shelby III,38667196.0,Spalding,,Griffin Southwest Bypass From SR 16 To SR 3 - Phase II,No,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0007871
0007879,PRE-CONSTRUCTION,Albert V. Shelby III,338877192.14,Monroe,,I-75 From SR 42 To CR 277/High Falls Road,No,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0007879
0007880,PRE-CONSTRUCTION,Albert V. Shelby III,36429066.25,"Butts , Lamar , Monroe",,I-75 From CR 277/High Falls Road To SR 16,No,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0007880
0007881,PRE-CONSTRUCTION,Albert V. Shelby III,196058281.87,"Butts , Henry , Spalding",,I-75 From SR 16 To CR 636/Bill Gardner Pkwy,No,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0007881
0007891,PRE-CONSTRUCTION,Albert V. Shelby III,46505565.2,Henry,,I-75 From CS 636/Bill Gardner Pkwy To SR 920/Jonesboro Road,No,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0007891
0007904,PRE-CONSTRUCTION,Albert V. Shelby III,12249025.0,Troup,,I-85 Sb @ SR 109; Inc Ramp,No,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0007904
0008423,PRE-CONSTRUCTION,Albert V. Shelby III,606432.5,Carroll,"This project proposed to improve the intersection of SR 101 @ Tumlin Lake Rd by adding left and right turn lanes. The entire project lies within Carroll County. Current (2016) Average Annual Daily Traffic (AADT) along SR 101 is 8450 with 5% truck traffic. Future (2041) traffic volumes are projected (assuming an annual growth rate of 1%) to be 11,000 AADT. Currently, the intersection operates at a C level of service during peak hour. Installing turn lanes on SR 101 would improve the Level of Service to a B level. The crash rate the SR 101 @ Tumlin Lake intersection between 2013 to 2016 (which is the latest data available) was above the statewide average for similar functional classifications of intersections (State Route with Other, Rural, Unsignalized Intersection). Additionally, during the past 5 years, there have been 6 correctible injury crashes.",SR 101 @ CR 353/Tumlin Lake Road/Villa Rica Middle School,No,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0008423
0008598,COMPLETED-CONSTRUCTION,Scott Mann,5891900.5200000005,Fayette,"This bridge (Structure ID 113-5024-0; CR 287 over Whitewater Creek) was built in 1965. The bridge consists of four spans of reinforced concrete deck girders on steel piles, concrete columns and concrete caps. The design vehicle used for this bridge is below the current standards. This bridge is currently posted. The overall condition of this bridge would be classified as satisfactory to good. The deck and superstructure are in good condition with some minor problems. The substructure is in satisfactory condition due to minor scour. Due to the structural integrity of the bridge and the bridge being posted replacement is recommended.",Ebenezer Church RD (Cr287) - Bridge  Rehab,No,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0008598
0008619,PRE-CONSTRUCTION,Antoniette K Moseley,21740691.2,Coweta,"To widen SR-154 to a four through lanes from SR-154/US-29 to SR-54 in Coweta County. Approximately 8.57 miles in length. Benefits include improving mobility and reducing congestion, enhancing economic development, and/or reducing crash frequencies along SR-154.",SR 154 From SR 14/US 29 To SR 54,No,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0008619
0008669,PRE-CONSTRUCTION,Albert V. Shelby III,43822000.0,Troup,,SR 14/US 29 From CR 276/Youngs Mill Road To SR 54,No,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0008669
0008670,PRE-CONSTRUCTION,Albert V. Shelby III,10878000.0,Troup,,SR 1/US 27 From CR 188/Old Chipley Road To I-185,No,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0008670
