Project_ID,Project_counties,Is_TIA_project,Project_description,Last_refresh,Project_URL
M005630,Cherokee,No,SR 92 From CS 734/Laurel Wood Drive To Cobb County Line,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=M005630
0020374,Fulton,No,SR 6 @ Bakers Ferry Road,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0020374
0020375,Douglas,No,SR 6 @ Oak Ridge Road/Skyview Road,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0020375
0020398,Fulton,No,Old Alabama Road @ Johns Creek & @ Johns Creek Trib,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0020398
0020634,Gwinnett,No,Stanley Road @ SR 8,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0020634
122750-,Gwinnett,No,SR 316 From Riverside Parkway To East Of Walther Blvd,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=122750-
122760-,Gwinnett,No,SR 316 From E Of SR 20 To W Of CR 183/Progress Center Ave,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=122760-
122770-,Gwinnett,No,SR 316 From W Of CR 183/Progress Center Ave To E Of Cedars RD,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=122770-
0020661,Douglas,No,SR 166 @ Chapel Hill Road,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0020661
0020662,Cobb,No,Franklin Gateway @ Rottenwood Creek,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0020662
0020663,Cobb,No,Cobb International Blvd From SR 3 To Cobb Center Drive,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0020663
0020664,Cobb,No,Austell Powder Springs Trail From Silver Comet To Joe Jerkins,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0020664
0020666,Cobb,No,George Busbee Pkwy From SR 5 Conn To Chastain Road,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0020666
0020667,DeKalb,No,Georgetown Trail From Old Georgetown Trl To Georgetown Square,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0020667
0020669,Cobb,No,Oakdale Road @ Buckner Road & @ NS #719840A,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0020669
0020670,Gwinnett,No,Pleasant Hill Road @ Gwinnett Place Drive,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0020670
0020671,DeKalb,No,Chestnut Drive @ SR 13,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0020671
0020677,"Gwinnett , Jackson",No,Railroad Crossings @ 5 NS Locs In District 1,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0020677
0020680,DeKalb,No,Henrico Road @ NS #718386M,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0020680
0020681,Fulton,No,Jonesboro Road @ CSX #639514A In Union City,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0020681
0020769,Fulton,No,I-75/I-85 Capping - The Stitch - Phase I,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0020769
0020777,Fayette,No,SR 279 @ SR 314,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0020777
